"","Date","countInten"
"1",2022-03-27 00:00:00,473.643
"2",2022-03-27 00:01:00,472.342
"3",2022-03-27 00:02:00,468.278
"4",2022-03-27 00:03:00,470.633
"5",2022-03-27 00:04:00,470.483
"6",2022-03-27 00:05:00,475.729
"7",2022-03-27 00:06:00,470.998
"8",2022-03-27 00:07:00,473.099
"9",2022-03-27 00:08:00,470.796
"10",2022-03-27 00:09:00,469.427
"11",2022-03-27 00:10:00,472.059
"12",2022-03-27 00:11:00,471.354
"13",2022-03-27 00:12:00,469.404
"14",2022-03-27 00:13:00,462.355
"15",2022-03-27 00:14:00,462.229
"16",2022-03-27 00:15:00,469.357
"17",2022-03-27 00:16:00,468.744
"18",2022-03-27 00:17:00,471.266
"19",2022-03-27 00:18:00,463.557
"20",2022-03-27 00:19:00,463.155
"21",2022-03-27 00:20:00,469.719
"22",2022-03-27 00:21:00,472.648
"23",2022-03-27 00:22:00,473.126
"24",2022-03-27 00:23:00,469.513
"25",2022-03-27 00:24:00,471.038
"26",2022-03-27 00:25:00,469.411
"27",2022-03-27 00:26:00,465.659
"28",2022-03-27 00:27:00,464.666
"29",2022-03-27 00:28:00,469.598
"30",2022-03-27 00:29:00,471.636
"31",2022-03-27 00:30:00,468.137
"32",2022-03-27 00:31:00,470.647
"33",2022-03-27 00:32:00,468.703
"34",2022-03-27 00:33:00,475.651
"35",2022-03-27 00:34:00,468.04
"36",2022-03-27 00:35:00,465.002
"37",2022-03-27 00:36:00,461.081
"38",2022-03-27 00:37:00,472.696
"39",2022-03-27 00:38:00,471.812
"40",2022-03-27 00:39:00,466.663
"41",2022-03-27 00:40:00,470.535
"42",2022-03-27 00:41:00,474.678
"43",2022-03-27 00:42:00,468.916
"44",2022-03-27 00:43:00,468.531
"45",2022-03-27 00:44:00,466.926
"46",2022-03-27 00:45:00,470.396
"47",2022-03-27 00:46:00,469.971
"48",2022-03-27 00:47:00,473.291
"49",2022-03-27 00:48:00,466.299
"50",2022-03-27 00:49:00,476.564
"51",2022-03-27 00:50:00,465.239
"52",2022-03-27 00:51:00,465.159
"53",2022-03-27 00:52:00,471.052
"54",2022-03-27 00:53:00,472.587
"55",2022-03-27 00:54:00,473.051
"56",2022-03-27 00:55:00,466.263
"57",2022-03-27 00:56:00,469.628
"58",2022-03-27 00:57:00,464.588
"59",2022-03-27 00:58:00,471.404
"60",2022-03-27 00:59:00,472.584
"61",2022-03-27 01:00:00,471.516
"62",2022-03-27 01:01:00,464.654
"63",2022-03-27 01:02:00,464.495
"64",2022-03-27 01:03:00,464.824
"65",2022-03-27 01:04:00,468.49
"66",2022-03-27 01:05:00,469.316
"67",2022-03-27 01:06:00,467.478
"68",2022-03-27 01:07:00,468.733
"69",2022-03-27 01:08:00,462.018
"70",2022-03-27 01:09:00,476.556
"71",2022-03-27 01:10:00,473.668
"72",2022-03-27 01:11:00,462.761
"73",2022-03-27 01:12:00,474.393
"74",2022-03-27 01:13:00,473.945
"75",2022-03-27 01:14:00,467.382
"76",2022-03-27 01:15:00,463.864
"77",2022-03-27 01:16:00,470.396
"78",2022-03-27 01:17:00,463.37
"79",2022-03-27 01:18:00,466.723
"80",2022-03-27 01:19:00,464.143
"81",2022-03-27 01:20:00,471.253
"82",2022-03-27 01:21:00,473.592
"83",2022-03-27 01:22:00,468.239
"84",2022-03-27 01:23:00,461.886
"85",2022-03-27 01:24:00,464.967
"86",2022-03-27 01:25:00,471.784
"87",2022-03-27 01:26:00,469.079
"88",2022-03-27 01:27:00,469.562
"89",2022-03-27 01:28:00,468.051
"90",2022-03-27 01:29:00,468.046
"91",2022-03-27 01:30:00,470.811
"92",2022-03-27 01:31:00,479.097
"93",2022-03-27 01:32:00,470.904
"94",2022-03-27 01:33:00,460.608
"95",2022-03-27 01:34:00,468.088
"96",2022-03-27 01:35:00,458.982
"97",2022-03-27 01:36:00,466.528
"98",2022-03-27 01:37:00,472.979
"99",2022-03-27 01:38:00,468.338
"100",2022-03-27 01:39:00,470.517
"101",2022-03-27 01:40:00,466.778
"102",2022-03-27 01:41:00,465.014
"103",2022-03-27 01:42:00,464.661
"104",2022-03-27 01:43:00,461.477
"105",2022-03-27 01:44:00,465.578
"106",2022-03-27 01:45:00,465.144
"107",2022-03-27 01:46:00,468.948
"108",2022-03-27 01:47:00,471.329
"109",2022-03-27 01:48:00,472.063
"110",2022-03-27 01:49:00,471.04
"111",2022-03-27 01:50:00,458.903
"112",2022-03-27 01:51:00,463.223
"113",2022-03-27 01:52:00,477.417
"114",2022-03-27 01:53:00,463.654
"115",2022-03-27 01:54:00,470.522
"116",2022-03-27 01:55:00,468.949
"117",2022-03-27 01:56:00,463.102
"118",2022-03-27 01:57:00,469.349
"119",2022-03-27 01:58:00,470.623
"120",2022-03-27 01:59:00,474.419
"121",2022-03-27 02:00:00,468.404
"122",2022-03-27 02:01:00,464.004
"123",2022-03-27 02:02:00,464.659
"124",2022-03-27 02:03:00,468.18
"125",2022-03-27 02:04:00,473.496
"126",2022-03-27 02:05:00,460.555
"127",2022-03-27 02:06:00,463.995
"128",2022-03-27 02:07:00,464.746
"129",2022-03-27 02:08:00,465.827
"130",2022-03-27 02:09:00,467.066
"131",2022-03-27 02:10:00,471.774
"132",2022-03-27 02:11:00,464.752
"133",2022-03-27 02:12:00,470.194
"134",2022-03-27 02:13:00,464.365
"135",2022-03-27 02:14:00,475.877
"136",2022-03-27 02:15:00,466.617
"137",2022-03-27 02:16:00,472.699
"138",2022-03-27 02:17:00,474.831
"139",2022-03-27 02:18:00,469.297
"140",2022-03-27 02:19:00,467.494
"141",2022-03-27 02:20:00,465.645
"142",2022-03-27 02:21:00,459.749
"143",2022-03-27 02:22:00,467.292
"144",2022-03-27 02:23:00,471.033
"145",2022-03-27 02:24:00,473.939
"146",2022-03-27 02:25:00,468.992
"147",2022-03-27 02:26:00,480.037
"148",2022-03-27 02:27:00,464.74
"149",2022-03-27 02:28:00,467.983
"150",2022-03-27 02:29:00,464.607
"151",2022-03-27 02:30:00,468.416
"152",2022-03-27 02:31:00,472.644
"153",2022-03-27 02:32:00,461.319
"154",2022-03-27 02:33:00,466.067
"155",2022-03-27 02:34:00,467.424
"156",2022-03-27 02:35:00,461.754
"157",2022-03-27 02:36:00,469.17
"158",2022-03-27 02:37:00,467.512
"159",2022-03-27 02:38:00,472.578
"160",2022-03-27 02:39:00,460.74
"161",2022-03-27 02:40:00,461.806
"162",2022-03-27 02:41:00,468.363
"163",2022-03-27 02:42:00,466.775
"164",2022-03-27 02:43:00,458.155
"165",2022-03-27 02:44:00,461.674
"166",2022-03-27 02:45:00,459.722
"167",2022-03-27 02:46:00,463.876
"168",2022-03-27 02:47:00,468.226
"169",2022-03-27 02:48:00,471.119
"170",2022-03-27 02:49:00,471.878
"171",2022-03-27 02:50:00,470.136
"172",2022-03-27 02:51:00,465.811
"173",2022-03-27 02:52:00,462.664
"174",2022-03-27 02:53:00,473.007
"175",2022-03-27 02:54:00,462.882
"176",2022-03-27 02:55:00,477.21
"177",2022-03-27 02:56:00,472.129
"178",2022-03-27 02:57:00,460.272
"179",2022-03-27 02:58:00,456.014
"180",2022-03-27 02:59:00,470.309
"181",2022-03-27 03:00:00,466.407
"182",2022-03-27 03:01:00,467.774
"183",2022-03-27 03:02:00,473.644
"184",2022-03-27 03:03:00,466.198
"185",2022-03-27 03:04:00,464.798
"186",2022-03-27 03:05:00,458.273
"187",2022-03-27 03:06:00,464.28
"188",2022-03-27 03:07:00,474.392
"189",2022-03-27 03:08:00,472.779
"190",2022-03-27 03:09:00,463.597
"191",2022-03-27 03:10:00,463.677
"192",2022-03-27 03:11:00,463.12
"193",2022-03-27 03:12:00,467.722
"194",2022-03-27 03:13:00,456.354
"195",2022-03-27 03:14:00,465.505
"196",2022-03-27 03:15:00,461.975
"197",2022-03-27 03:16:00,461.7
"198",2022-03-27 03:17:00,472.677
"199",2022-03-27 03:18:00,460.87
"200",2022-03-27 03:19:00,469.417
"201",2022-03-27 03:20:00,468.58
"202",2022-03-27 03:21:00,468.022
"203",2022-03-27 03:22:00,461.42
"204",2022-03-27 03:23:00,464.572
"205",2022-03-27 03:24:00,464.3
"206",2022-03-27 03:25:00,467.828
"207",2022-03-27 03:26:00,463.889
"208",2022-03-27 03:27:00,463.942
"209",2022-03-27 03:28:00,460.491
"210",2022-03-27 03:29:00,469.196
"211",2022-03-27 03:30:00,461.039
"212",2022-03-27 03:31:00,467.445
"213",2022-03-27 03:32:00,467.62
"214",2022-03-27 03:33:00,464.327
"215",2022-03-27 03:34:00,468.823
"216",2022-03-27 03:35:00,469.638
"217",2022-03-27 03:36:00,465.235
"218",2022-03-27 03:37:00,470.087
"219",2022-03-27 03:38:00,457.521
"220",2022-03-27 03:39:00,454.873
"221",2022-03-27 03:40:00,460.292
"222",2022-03-27 03:41:00,464.154
"223",2022-03-27 03:42:00,459.407
"224",2022-03-27 03:43:00,462.397
"225",2022-03-27 03:44:00,463.829
"226",2022-03-27 03:45:00,465.103
"227",2022-03-27 03:46:00,463.191
"228",2022-03-27 03:47:00,463.397
"229",2022-03-27 03:48:00,457.693
"230",2022-03-27 03:49:00,470.023
"231",2022-03-27 03:50:00,460.88
"232",2022-03-27 03:51:00,459.738
"233",2022-03-27 03:52:00,458.041
"234",2022-03-27 03:53:00,463.755
"235",2022-03-27 03:54:00,469.664
"236",2022-03-27 03:55:00,464.731
"237",2022-03-27 03:56:00,463.855
"238",2022-03-27 03:57:00,462.441
"239",2022-03-27 03:58:00,461.971
"240",2022-03-27 03:59:00,465.183
"241",2022-03-27 04:00:00,463.377
"242",2022-03-27 04:01:00,461.584
"243",2022-03-27 04:02:00,469.719
"244",2022-03-27 04:03:00,468.948
"245",2022-03-27 04:04:00,466.606
"246",2022-03-27 04:05:00,469.056
"247",2022-03-27 04:06:00,464.917
"248",2022-03-27 04:07:00,464.233
"249",2022-03-27 04:08:00,463.182
"250",2022-03-27 04:09:00,455.668
"251",2022-03-27 04:10:00,467.912
"252",2022-03-27 04:11:00,465.994
"253",2022-03-27 04:12:00,466.332
"254",2022-03-27 04:13:00,467.687
"255",2022-03-27 04:14:00,459.377
"256",2022-03-27 04:15:00,464.877
"257",2022-03-27 04:16:00,465.634
"258",2022-03-27 04:17:00,465.848
"259",2022-03-27 04:18:00,470.221
"260",2022-03-27 04:19:00,468.14
"261",2022-03-27 04:20:00,470.153
"262",2022-03-27 04:21:00,469.823
"263",2022-03-27 04:22:00,464.977
"264",2022-03-27 04:23:00,469.433
"265",2022-03-27 04:24:00,465.11
"266",2022-03-27 04:25:00,466.626
"267",2022-03-27 04:26:00,468.538
"268",2022-03-27 04:27:00,467.69
"269",2022-03-27 04:28:00,459.991
"270",2022-03-27 04:29:00,465.542
"271",2022-03-27 04:30:00,471.643
"272",2022-03-27 04:31:00,458.893
"273",2022-03-27 04:32:00,473.952
"274",2022-03-27 04:33:00,469.891
"275",2022-03-27 04:34:00,472.647
"276",2022-03-27 04:35:00,467.579
"277",2022-03-27 04:36:00,465.741
"278",2022-03-27 04:37:00,468.741
"279",2022-03-27 04:38:00,474.468
"280",2022-03-27 04:39:00,463.699
"281",2022-03-27 04:40:00,462.594
"282",2022-03-27 04:41:00,466.719
"283",2022-03-27 04:42:00,463.958
"284",2022-03-27 04:43:00,462.953
"285",2022-03-27 04:44:00,463.736
"286",2022-03-27 04:45:00,463.337
"287",2022-03-27 04:46:00,467.173
"288",2022-03-27 04:47:00,467.839
"289",2022-03-27 04:48:00,462.643
"290",2022-03-27 04:49:00,461.278
"291",2022-03-27 04:50:00,464.415
"292",2022-03-27 04:51:00,461.536
"293",2022-03-27 04:52:00,470.104
"294",2022-03-27 04:53:00,469.272
"295",2022-03-27 04:54:00,470.678
"296",2022-03-27 04:55:00,474.622
"297",2022-03-27 04:56:00,467.893
"298",2022-03-27 04:57:00,463.335
